# zmin,zmax, thetamin,thetamax, lambdamin,lambdamax, timemin,timemax, wxmin,wxmax, wzmin,wzmax, val,relerr
9.2,10.4, 59,59.5, 2.6,2.8, 1.5,2, 0.8,0.85, 0.01,0.03, 2.09402e+17,4.82019
9.2,10.4, 58,58.5, 2.8,3, 1.5,2, 0.8,0.85, 0.01,0.03, 2.6163e+17,4.89479
16.4,17.6, 58.5,59, 0.9,1, 0.6,0.7, 0.8,0.85, 0.01,0.03, 1.10735e+18,7.27084
15.2,16.4, 57,57.5, 1.5,1.6, 0.9,1, 0.8,0.85, 0.01,0.03, 6.33333e+17,9.26566
11.6,12.8, 60.5,61, 1.5,1.6, 0.9,1, 0.85,0.88, 0,0.01, 1.63041e+18,8.80385
11.6,12.8, 60,60.5, 1.2,1.3, 0.8,0.9, 0.8,0.85, 0,0.01, 1.05216e+18,9.05748
18.8,20, 58,58.5, 5,7.5, 3,4, 0.8,0.85, 0.03,0.05, 4.61865e+15,5.41165
9.2,10.4, 57.5,58, 7.5,10, 4,5, 0.8,0.85, 0.01,0.03, 4.7871e+15,5.36572
12.8,14, 61.5,62, 2.6,2.8, 1.5,2, 0.85,0.88, 0,0.01, 3.50238e+17,6.56788
10.4,11.6, 58.5,59, 2.8,3, 1.5,2, 0.8,0.85, 0.01,0.03, 2.16114e+17,6.02618
17.6,18.8, 60.5,61, 2.6,2.8, 1.4,1.5, 0.85,0.88, 0.01,0.03, 6.90989e+17,8.7151
14,15.2, 60,60.5, 2.4,2.6, 1.4,1.5, 0.8,0.85, 0,0.01, 7.85642e+17,7.71888
11.6,12.8, 60.5,61, 4,5, 2,3, 0.85,0.88, 0,0.01, 8.27401e+16,4.83138
18.8,20, 61,61.5, 5,7.5, 3,4, 0.85,0.88, 0.01,0.03, 3.31704e+15,7.93348
18.8,20, 60,60.5, 5,7.5, 2,3, 0.8,0.85, 0.01,0.03, 3.01496e+15,7.51728
16.4,17.6, 59.5,60, 5,7.5, 3,4, 0.8,0.85, 0.01,0.03, 9.03391e+15,3.85743
14,15.2, 58.5,59, 4,5, 2,3, 0.8,0.85, 0,0.01, 7.84953e+16,3.42875
16.4,17.6, 57,57.5, 3,3.5, 1.5,2, 0.8,0.85, 0.01,0.03, 3.47385e+17,2.7855
17.6,18.8, 61,61.5, 2.6,2.8, 1.4,1.5, 0.85,0.88, 0.01,0.03, 5.32013e+17,9.78934
